id,AUTM_names,std_name
95131,Oklahoma State Univ.,Oklahoma State University
95131,Oklahoma State University,Oklahoma State University
96020,Old Dominion University,Old Dominion University
95132,Oregon Health & Science Univ.,Oregon Health & Science University
95132,Oregon Health & Science University,Oregon Health & Science University
95132,Oregon Health Sciences University,Oregon Health & Science University
95133,Oregon State Univ.,Oregon State University
95133,Oregon State University,Oregon State University
97023,Institute of Paper Science and Tech.,Paper Science and Tech
97023,Institution of Paper Science and Tech.,Paper Science and Tech
95135,Penn State Univ.,Pennsylvania State University
95135,Penn State University,Pennsylvania State University
95137,Portland State Univ.,Portland State University
95137,Portland State University,Portland State University
95138,Princeton Univ.,Princeton University
95138,Princeton University,Princeton University
20140302,Providence Health & Services ? Oregon,Providence Health & Services
95139,Purdue Research Fdn.,Purdue University
95139,Purdue Research Foundation,Purdue University
95141,Ramsey Foundation,Ramsey Foundation
95142,Rensselaer Polytechnic Institution,Rensselaer
95144,Research Corporation Technologies,Research Corporation Technologies
95146,Rhode Island Hospital,Rhode Island Hospital
95147,Rice Univ.,Rice University
95147,Rice University,Rice University
95148,Rochester Inst. of Technology,Rochester Inst
95148,Rochester Institute of Technology,Rochester Inst
95148,Rochester Institution of Technology,Rochester Inst
95149,Rockefeller Univ.,Rockefeller University
95149,Rockefeller University,Rockefeller University
20160317,Rosalind Franklin University of Medcine and Science,Rosalind Franklin University
20160315,Rowan University,Rowan University
20000016,Rush University Medical Center,Rush University
20000016,RUSH-Presbyterian-St. Luke's Medical Ctr,Rush University
95150,Rutgers The State Univ. of  NJ,Rutgers
95150,Rutgers The State University of  NJ,Rutgers
95150,Rutgers The State University of New Jersey,Rutgers
96025,St. Louis University,Saint Louis University
20120295,Salish Kootenai College,Salish Kootenai College
95152,Salk Institute,Salk Institute
95152,Salk Institute for Biological Studies,Salk Institute
95152,The Salk Inst. for Biological Studies,Salk Institute
95152,The Salk Institute for Biological Studies,Salk Institute
95152,The Salk Institution for Biological Studies,Salk Institute
95154,San Diego State University,San Diego State University
95021,Burnham Institute,Sanford Burnham
95021,Sanford-Burnham Medical Research Institute,Sanford Burnham
96022,Schepens Eye Research Institute,Schepens Eye
96022,Schepens Eye Research Institution,Schepens Eye
95156,The Scripps Research Institution,Scripps Research
